MasterID,Mag,Magerr,RA,Dec,MJD,Blend
1101016021871,17.92,0.11,42.37022, 1.15687,54024.42141,0
1101016021871,17.92,0.11,42.37014, 1.15698,54024.42894,0
1101016021871,17.85,0.11,42.37013, 1.15677,54024.43650,0
1101016021871,17.93,0.11,42.37021, 1.15682,54024.44404,0
1101016021871,17.89,0.11,42.37017, 1.15692,54030.38176,0
1101016021871,17.84,0.10,42.37021, 1.15688,54030.38948,0
1101016021871,17.83,0.10,42.37019, 1.15689,54030.39725,0
1101016021871,17.83,0.10,42.37011, 1.15696,54030.40495,0
1101016021871,17.95,0.11,42.37018, 1.15689,53996.36647,0
1101016021871,17.96,0.11,42.37025, 1.15689,53996.37397,0
1101016021871,18.00,0.11,42.37024, 1.15692,53996.38151,0
1101016021871,18.02,0.11,42.37027, 1.15686,53996.38907,0
1101016021871,17.87,0.11,42.37021, 1.15693,54004.45102,0
1101016021871,18.12,0.12,42.37012, 1.15688,54004.45747,0
1101016021871,17.98,0.11,42.37030, 1.15699,54004.46391,0
1101016021871,17.94,0.11,42.37015, 1.15686,54004.47033,0
1101016021871,18.16,0.12,42.37014, 1.15702,54440.11288,0
1101016021871,18.18,0.12,42.37011, 1.15697,54440.11930,0
1101016021871,18.01,0.11,42.37011, 1.15692,54440.12586,0
1101016021871,17.99,0.11,42.37011, 1.15683,54440.13229,0
1101016021871,17.97,0.11,42.37017, 1.15689,54117.21803,0
1101016021871,17.84,0.11,42.37027, 1.15687,54117.22463,0
1101016021871,17.81,0.11,42.37036, 1.15690,54117.23128,0
1101016021871,17.78,0.11,42.37020, 1.15692,54117.23785,0
1101016021871,18.00,0.11,42.37022, 1.15701,54411.24453,0
1101016021871,18.03,0.11,42.37021, 1.15685,54411.25414,0
1101016021871,18.03,0.11,42.37014, 1.15695,54411.26377,0
1101016021871,18.09,0.12,42.37014, 1.15703,54411.27338,0
1101016021871,18.03,0.11,42.37019, 1.15701,54419.20700,0
1101016021871,18.01,0.11,42.37005, 1.15700,54419.21295,0
1101016021871,17.99,0.11,42.37010, 1.15692,54419.21893,0
1101016021871,18.03,0.11,42.37010, 1.15691,54419.22491,0
1101016021871,18.03,0.12,42.37027, 1.15688,54383.33997,0
1101016021871,17.95,0.11,42.37018, 1.15682,54383.35148,0
1101016021871,17.95,0.11,42.37027, 1.15686,54383.36304,0
1101016021871,17.93,0.11,42.37030, 1.15687,54383.37461,0
1101016021871,18.01,0.11,42.37032, 1.15696,54392.34150,0
1101016021871,17.90,0.11,42.37015, 1.15691,54392.34962,0
1101016021871,17.95,0.11,42.37027, 1.15695,54392.35778,0
1101016021871,17.92,0.11,42.37020, 1.15695,54392.36590,0
1101016021871,18.07,0.12,42.37020, 1.15704,54404.26685,0
1101016021871,18.03,0.11,42.37025, 1.15708,54404.27540,0
1101016021871,18.03,0.11,42.37018, 1.15693,54404.28184,0
1101016021871,18.10,0.12,42.37020, 1.15705,54404.28829,0
1101016021871,17.93,0.11,42.37018, 1.15695,54354.39272,0
1101016021871,17.98,0.11,42.37011, 1.15692,54354.40016,0
1101016021871,17.91,0.11,42.37020, 1.15700,54354.40764,0
1101016021871,17.95,0.11,42.37028, 1.15699,54354.41512,0
1101016021871,18.20,0.12,42.37016, 1.15677,54801.25209,0
1101016021871,18.32,0.13,42.37012, 1.15684,54801.25993,0
1101016021871,18.25,0.12,42.37016, 1.15689,54801.26779,0
1101016021871,18.09,0.12,42.37005, 1.15707,54801.27565,0
1101016021871,18.29,0.12,42.37020, 1.15704,54829.13323,0
1101016021871,18.23,0.12,42.37029, 1.15701,54829.14046,0
1101016021871,18.11,0.12,42.37006, 1.15695,54829.14781,0
1101016021871,18.18,0.12,42.37020, 1.15693,54829.15505,0
1101016021871,18.15,0.12,42.37018, 1.15687,54498.14723,0
1101016021871,18.17,0.12,42.37011, 1.15704,54498.15262,0
1101016021871,18.11,0.12,42.37014, 1.15692,54498.15798,0
1101016021871,18.26,0.12,42.37006, 1.15690,54498.16332,0
1101016021871,18.05,0.11,42.37005, 1.15691,54506.11056,0
1101016021871,18.15,0.12,42.37010, 1.15690,54506.11694,0
1101016021871,18.06,0.12,42.37017, 1.15701,54506.12335,0
1101016021871,18.26,0.12,42.37011, 1.15692,54506.12975,0
1101016021871,18.08,0.13,42.37004, 1.15685,54524.09683,0
1101016021871,17.90,0.12,42.37027, 1.15699,54524.10231,0
1101016021871,18.11,0.13,42.37025, 1.15701,54524.10720,0
1101016021871,18.15,0.13,42.37008, 1.15692,54524.11203,0
1101016021871,18.11,0.12,42.37024, 1.15695,54477.14573,0
1101016021871,18.12,0.12,42.37019, 1.15702,54477.15221,0
1101016021871,18.10,0.12,42.37018, 1.15688,54477.15866,0
1101016021871,18.01,0.11,42.37018, 1.15690,54477.16506,0
1101016021871,18.23,0.12,42.37010, 1.15693,54773.29735,0
1101016021871,18.13,0.12,42.37012, 1.15682,54773.30321,0
1101016021871,18.21,0.12,42.37014, 1.15691,54773.30896,0
1101016021871,18.20,0.12,42.37014, 1.15686,54773.31482,0
1101016021871,18.13,0.12,42.37006, 1.15692,54789.22039,0
1101016021871,18.23,0.12,42.37013, 1.15686,54789.22949,0
1101016021871,18.13,0.12,42.37009, 1.15693,54789.23845,0
1101016021871,18.17,0.12,42.37017, 1.15691,54789.24749,0
1101016021871,18.21,0.12,42.37027, 1.15695,54747.43114,0
1101016021871,18.20,0.12,42.37025, 1.15696,54747.43707,0
1101016021871,18.19,0.12,42.37029, 1.15709,54747.44311,0
1101016021871,18.20,0.12,42.37026, 1.15699,54747.44913,0
1101016021871,18.23,0.12,42.37018, 1.15706,54716.42881,0
1101016021871,18.21,0.12,42.37017, 1.15701,54716.43537,0
1101016021871,18.16,0.12,42.37016, 1.15685,54716.44190,0
1101016021871,18.31,0.13,42.37024, 1.15688,54716.44846,0
1101016021871,18.32,0.12,42.37036, 1.15703,54738.39458,0
1101016021871,18.16,0.12,42.37026, 1.15693,54738.40554,0
1101016021871,18.18,0.12,42.37034, 1.15696,54738.41651,0
1101016021871,18.33,0.12,42.37025, 1.15696,54738.42754,0
1101016021871,18.19,0.12,42.37014, 1.15692,55061.41975,0
1101016021871,18.27,0.13,42.37020, 1.15707,55061.42730,0
1101016021871,18.19,0.12,42.36992, 1.15697,55061.43491,0
1101016021871,18.15,0.12,42.37009, 1.15698,55061.44257,0
1101016021871,18.59,0.21,42.37014, 1.15703,55073.39985,0
